product id,product name,"Brewery Dist, Edmonton","Lonsdale, Vancouver","Mcarthur, Ottawa","Mclaughlin, Toronto"
373,Lightly Dried Cilantro,5.99,,,5.99
374,Lightly Dried Parsley,5.99,,,5.99
375,"Lightly Dried, Ginger Bowl",,,,5.99
376,Lime Herbal Kombucha,,,4.99,4.99
377,Lime Lemongrass Organic Kombucha,,,9.99,9.99
378,Limes,0.99,0.99,0.99,0.99
379,Live Lettuce Boston,3.99,3.99,3.49,3.49
380,"Live Lettuce Green, 2-pack",,,5.99,5.99
381,"Live Lettuce Red/Green, 2-pack",,,5.99,5.99
382,Live Lettuce Tri Mix - 1 Unit,3.99,3.99,,3.99
383,"Live Lettuce Trio, 2-pack",,,5.99,
384,LoBok (Daikon Radish),3.28,3.28,3.09,3.09
385,Loaded Potato Salad,2.29,,,
386,Loads Of Garlic Caesar Salad Kit,6.99,6.99,6.99,6.99
387,Long Eggplants,1.92,1.92,,
388,Long Eggplants (1Pack),,,12.76,12.76
389,Lunch Size Veg and Dip 600G,8.0,,8.0,
390,Mandarin Oranges,2.25,6.99,4.99,4.99
391,Mango,,,2.99,2.99
392,Mango Fruit Parfait,,5.0,,
393,Mango Red 3Ct,,5.99,,4.99
394,Mango Spears,8.0,,,
395,"Manzano Bananas, Bunch",,,,3.78
396,"Marinated Tofu Kebab, 2-Pack",6.0,,,
397,"Marinated Tofu Kebab, 4-Pack",10.0,,,
398,Marjoram,,,,2.99
399,Marzetti Chocolate Dip 250g,,,5.99,5.99
400,Matchstick Carrots,,,,2.99
401,McIntosh Apples,,,5.99,1.1
402,McIntosh Apples 3lb Bag,6.99,6.99,,
403,"Mediterranean Tuna Salad, Mini",5.0,5.0,,
404,Mexican Street Corn Salad,,,5.7,5.7
405,"Mexican Style Beef Taco Salad, Family Size",,19.0,,
406,Micro Arugula,,,4.79,4.79
407,Micro Broccoli,,,4.79,
408,Microwave Ready Garlic Parsley Potatoes,,,4.99,4.99
409,Microwave Ready Lemon and Garden Herb Potatoes,4.99,4.99,4.99,4.99
410,Microwave Ready Savoury Herb Potatoes,4.99,4.99,4.99,4.99
411,"Mini Bananas, Bunch",,,2.17,2.17
412,Mini Carrots,5.99,5.99,4.99,4.99
413,Mini Carrots 1lb,2.99,2.99,,
414,Mini Cobb Salad,5.0,,,
415,Mini Cucumbers,4.99,4.99,4.99,4.99
416,Mini Garden Cheddar Salad,5.0,,5.0,
417,Mini Greek Salad,,5.0,,5.0
418,Mini Medjools Organic Cranberry Pistachio,11.99,,9.99,
419,Mini Medjools Sweet & Salty Almond,8.99,,7.99,7.99
420,Mini Mexican Beef Taco Salad,,5.0,5.0,
421,Mini Potato Trio,7.99,7.99,,7.99
422,Mini Seedless Watermelon,7.99,7.99,5.99,5.99
423,Minis,6.99,,6.99,6.99
424,Mint,3.29,,2.99,2.99
425,"Mint, Fresh",1.99,,,1.99
426,Mixed Berry Blend,6.0,,,
427,Mixed Berry Juice,12.0,,,
428,Mixed Cut Peppers,6.0,6.0,,
429,Mixed Dried Mushrooms,5.99,5.99,5.99,
430,Mixed Fruit Parfait,5.0,5.0,5.0,
431,Mixed Greens,4.99,4.99,4.49,4.49
432,Mixed Little Gems,4.99,,,4.99
433,Mixed Melon Cubed Large,10.0,10.0,10.0,
434,Mixed Peppers (6 Pack),,,7.99,
435,Mixiany Cherry Tomatoes,,,5.99,
436,Mixiany Tomato 454G,7.49,7.49,,
